fig,read,mean
hiragana-a,a,a
hiragana-i,i,i
hiragana-u,u,u
hiragana-e,e,e
hiragana-o,o,o
hiragana-ka,ka,ka
hiragana-ki,ki,ki
hiragana-ku,ku,ku
hiragana-ke,ke,ke
hiragana-ko,ko,ko
hiragana-sa,sa,sa
hiragana-shi,shi,shi
hiragana-su,su,su
hiragana-se,se,se
hiragana-so,so,so
hiragana-ta,ta,ta
hiragana-chi,chi,chi
hiragana-tsu,tsu,tsu
hiragana-te,te,te
hiragana-to,to,to
