fig,read,mean
nichi,ニチ、ジツ、ひ、-び、-か,"day"
ichi,イチ、イツ、ひと-、ひと.つ,one
kuni,コク、くに,country
hito,ジン、ニン、ひと、-り、-と,person
nen,ネン、とし,year
dai,ダイ、タイ、おお-、おお.きい、-おお.いに,big
jyu,ジュウ、ジッ、ジュッ、とお、と,10
ni,ニ、ジ、ふた、ふた.つ、ふたた.び,2
hon,ホン、もと,book
naka,チュウ、なか、うち、あた.る,in
nagai,チョウ、なが.い、おさ,long
deru,シュツ、スイ、で.る、-で、だ.す、-だ.す、い.でる、い.だす,exit
san,サン、ゾウ、み、み.つ、みっ.つ,3
toki,ジ、とき、-どき,time
iku,コウ、ギョウ、アン、い.く、ゆ.く、-ゆ.き、-ゆき、-い.き、-いき、おこな.う、おこ.なう,to go
miru,ケン、み.る、み.える、み.せる,to see
tsuki,ゲツ、ガツ、つき,moon
ato,ゴ、コウ、のち、うし.ろ、うしろ、あと、おく.れる,behind
mae,ゼン、まえ、-まえ,infront
ikiru, セイ、 ショウ、 い.きる、 い.かす、 い.ける、 う.まれる、 うま.れる、 う.まれ、 うまれ、 う.む、 お.う、 は.える、 は.やす、 き 、 なま、 なま-、 な.る、 な.す、 む.す, to live
go, ゴ 、いつ 、いつ.つ, 5
aida, カン 、ケン 、あいだ 、 ま 、あい, between
ue, ジョウ 、ショウ 、シャン 、うえ 、-うえ  、うわ- 、かみ 、あ.げる 、 -あ.げる 、あ.がる 、 -あ.がる 、あ.がり 、 -あ.がり 、のぼ.る 、 のぼ.り 、のぼ.せる 、 のぼ.す 、よ.す, up
higashi, トウ 、ひがし, east
yon, シ 、よ 、よ.つ 、よっ.つ 、よん, 4
ima, コン 、キン 、いま, now
kane, キン 、コン 、ゴン  、かね 、かな- 、-がね, gold
kyu, キュウ 、ク 、ここの 、 ここの.つ, 9
iru, ニュウ 、ジュ 、い.る 、 -い.る 、-い.り 、い.れる 、-い.れ 、はい.る, insert
manabu,ガク 、まな.ぶ, to study
takai, コウ 、たか.い 、たか 、 -だか 、たか.まる  、たか.める, high
en, エン 、まる.い 、まる 、 まど 、まど.か 、まろ.やか, round
ko, シ 、ス 、ツ 、こ 、-こ 、ね, child; 11PM-1AM
soto, ガイ 、ゲ 、そと 、ほか 、はず.す 、はず.れる 、と-, outside
hachi, ハチ 、や 、や.つ 、やっ.つ 、よう, 8
roku, ロク 、リク 、む 、む.つ 、むっ.つ 、むい, 6
shita, カ 、ゲ 、した 、しも 、 もと 、さ.げる 、さ.がる 、くだ.る 、くだ.り 、くだ.す 、-くだ.す 、くだ.さる 、お.ろす 、お.りる, down
kuru, ライ 、タイ 、く.る 、きた.る 、きた.す 、き.たす 、き.たる 、き 、こ, come
ki, キ 、ケ 、いき, spirit
chisai, ショウ 、ちい.さい 、こ- 、お- 、さ-, small
nana, シチ 、なな 、なな.つ 、 なの, 7
yama, サン 、セン 、やま, mountain
hanashi, ワ 、はな.す 、はなし, tale
onna, ジョ 、ニョ 、ニョウ 、 おんな 、め, woman
kita, ホク 、きた, north
uma, ゴ 、うま, noon
hyaku, ヒャク 、ビャク 、もも, 100
kaku, ショ 、か.く 、-が.き 、 -がき, to write
sama, セン 、さき 、ま.ず, before; ahead
na,メイ 、ミョウ 、な 、-な, name
kawa, セン 、かわ, stream; river
sen, セン 、ち, 1000
mizu, スイ 、みず 、みず-, water
han,ハン 、なか.ば, half
otoko,ダン 、ナン 、おとこ 、 お, man
nishi, セイ 、サイ 、ス 、にし, west
den,デン, electricity
koutest, コウ 、キョウ,exam; school; printing; proof; correction
kataru, ゴ 、かた.る 、かた.らう, word
tsuchi, ド 、ト 、つち, soil; earth
kitree, ボク 、モク 、き 、こ-, tree
kiku, ブン 、モン 、き.く 、き.こえる, to hear
taberu, ショク 、ジキ 、く.う 、 く.らう 、た.べる 、は.む, to eat
kuruma, シャ 、くるま, car
nani, カ 、なに 、なん 、なに- 、なん-, what
minami, ナン 、ナ 、みなみ, south
man, マン 、バン 、よろず, $10^{4}$
goto, マイ 、ごと 、-ごと.に, every
shiro, ハク 、ビャク 、しろ 、 しら- 、しろ.い, white
ten, テン 、あまつ 、あめ 、 あま-, sky
haha, ボ 、はは 、も, mother
hi, カ 、ひ 、-び 、ほ-, fire
migi, ウ 、ユウ 、みぎ, right
yomu, ドク 、トク 、トウ 、よ.む 、-よ.み, to read
tomo, ユウ 、とも,friend
hidari, サ 、シャ 、ひだり, left
yasumu, キュウ 、やす.む 、やす.まる 、やす.める, to rest
chichi,フ 、ちち, father
ame, ウ 、あめ 、あま- 、-さめ, rain
力,リョク・リキ・リイ・ちから,power; strength; strong; strain; bearup; exert
立,リツ・リュウ・リットル・た.つ・-た.つ・た.ち-・た.てる・-た.てる・た.て-・たて-・-た.て・-だ.て・-だ.てる,standup; rise; setup; erect
会,カイ・エ・あ.う・あ.わせる・あつ.まる,meeting; meet; party; association; interview; join
同,ドウ・おな.じ,same; agree; equal
事,ジ・ズ・こと・つか.う・つか.える,matter; thing; fact; business; reason; possibly
自,ジ・シ・みずか.ら・おの.ずから・おの.ずと,oneself
社,シャ・やしろ,company; firm; office; association; shrine
発,ハツ・ホツ・た.つ・あば.く・おこ.る・つか.わす・はな.つ,departure; discharge; publish; emit; startfrom; disclose; counter for gunshots
者,シャ・もの,someone; person
地,チ・ジ,ground; earth
業,ギョウ・ゴウ・わざ,business; vocation; arts; performance
方,ホウ・かた・-かた・-がた,direction; person; alternative
新,シン・あたら.しい・あら.た・あら-・にい-,new
場,ジョウ・チョウ・ば,location; place
員,イン,employee; member; number; theoneincharge
開,カイ・ひら.く・ひら.き・-びら.き・ひら.ける・あ.く・あ.ける,open; unfold; unseal
手,シュ・ズ・て・て-・-て・た-,hand
問,モン・と.う・と.い・とん,question; ask; problem
代,ダイ・タイ・か.わる・かわ.る・かわ.り・か.わり・-がわ.り・-が.わり・か.える・よ・しろ,substitute; change; convert; replace; period; age; counter for decades of ages eras etc.; generation; charge; rate; fee
明,メイ・ミョウ・ミン・あ.かり・あか.るい・あか.るむ・あか.らむ・あき.らか・あ.ける・-あ.け・あ.く・あ.くる・あ.かす,bright; light
動,ドウ・うご.く・うご.かす,move; motion; change; confusion; shift; shake
京,キョウ・ケイ・キン・みやこ,capital; 10**16
目,モク・ボク・め・-め・ま-,eye; class; look; insight; experience; care; favor
通,ツウ・ツ・とお.る・とお.り・-とお.り・-どお.り・とお.す・とお.し・-どお.し・かよ.う,"traffic; passthrough; avenue; commute; counter for letters, notes, documents, etc."
言,ゲン・ゴン・い.う・こと,say
理,リ・ことわり,logic; arrangement; reason; justice; truth
体,タイ・テイ・からだ・かたち,body; substance; object; reality; counterforimages
田,デン・た,ricefield; ricepaddy
主,シュ・ス・シュウ・ぬし・おも・あるじ,lord; chief; master; mainthing; principal
題,ダイ,topic; subject
意,イ,idea; mind; heart; taste; thought; desire; care; liking
不,フ・ブ,negative; non; bad; ugly; clumsy
作,サク・サ・つく.る・つく.り・-づく.り,make; production; prepare; build
用,ヨウ・もち.いる,utilize; business; service; use; employ
度,ド・ト・タク・たび・-た.い,degrees; occurrence; time; counterforoccurrences
強,キョウ・ゴウ・つよ.い・つよ.まる・つよ.める・し.いる・こわ.い,strong
公,コウ・ク・おおやけ,public; prince; official; governmental
持,ジ・も.つ・-も.ち・も.てる,hold; have
野,ヤ・ショ・の・の-,plains; field; rustic; civilianlife
以,イ・もっ.て,bymeansof; because; inviewof; comparedwith
思,シ・おも.う・おもえら.く・おぼ.す,think
家,カ・ケ・いえ・や・うち,house; home; family; professional; expert; performer
世,セイ・セ・ソウ・よ・さんじゅう,generation; world; society; public
多,タ・おお.い・まさ.に・まさ.る,many; frequent; much
正,セイ・ショウ・ただ.しい・ただ.す・まさ・まさ.に,correct; justice; righteous; 10**40
安,アン・やす.い・やす.まる・やす・やす.らか,relax; cheap; low; quiet; rested; contented; peaceful
院,イン,Inst.; institution; temple; mansion; school
心,シン・こころ・-ごころ,heart; mind; spirit; heartradical(no61)
界,カイ,world
教,キョウ・おし.える・おそ.わる,teach; faith; doctrine
文,ブン・モン・ふみ・あや,sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)
元,ゲン・ガン・もと,beginning; formertime; origin
重,ジュウ・チョウ・え・おも.い・おも.り・おも.なう・かさ.ねる・かさ.なる・おも,heavy; heapup; pileup; nestofboxes; -fold
近,キン・コン・ちか.い,near; early; akin; tantamount
考,コウ・かんが.える・かんが.え,consider; thinkover
画,ガ・カク・エ・カイ・えが.く・かく.する・かぎ.る・はかりごと・はか.る,brush-stroke; picture
海,カイ・うみ,sea; ocean
売,バイ・う.る・う.れる,sell
知,チ・し.る・し.らせる,know; wisdom
道,ドウ・トウ・みち,road-way; street; district; journey; course; moral; teachings
集,シュウ・あつ.まる・あつ.める・つど.う,gather; meet; congregate; swarm; flock
別,ベツ・わか.れる・わ.ける,separate; branchoff; diverge; fork; another; extra; specially
物,ブツ・モツ・もの・もの-,thing; object; matter
使,シ・つか.う・つか.い・-つか.い・-づか.い,use; sendonamission; order; messenger; envoy; ambassador; cause
品,ヒン・ホン・しな,goods; refinement; dignity; article; counterformealcourses
計,ケイ・はか.る・はか.らう,plot; plan; scheme; measure
死,シ・し.ぬ・し.に-,death; die
特,トク,special
私,シ・わたくし・わたし,private; I; me
始,シ・はじ.める・-はじ.める・はじ.まる,commence; begin
朝,チョウ・あさ,morning; dynasty; regime; epoch; period; (North)Korea
運,ウン・はこ.ぶ,carry; luck; destiny; fate; lot; transport; progress; advance
終,シュウ・お.わる・-お.わる・おわ.る・お.える・つい・つい.に,end; finish
台,ダイ・タイ・うてな・われ・つかさ,pedestal; astand; counter for machines and vehicles
広,コウ・ひろ.い・ひろ.まる・ひろ.める・ひろ.がる・ひろ.げる,wide; broad; spacious
住,ジュウ・ヂュウ・チュウ・す.む・す.まう・-ず.まい,dwell; reside; live; inhabit
真,シン・ま・ま-・まこと,true; reality; Buddhist sect
有,ユウ・ウ・あ.る,possess; have; exist; happen; occur; approx
口,コウ・ク・くち,mouth
少,ショウ・すく.ない・すこ.し,few; little
町,チョウ・まち,town; village; block; street
料,リョウ,fee; materials
工,コウ・ク・グ,craft; construction; katakana e radical (no. 48)
建,ケン・コン・た.てる・た.て・-だ.て・た.つ,build
空,クウ・そら・あ.く・あ.き・あ.ける・から・す.く・す.かす・むな.しい,empty; sky; void; vacant; vacuum
急,キュウ・いそ.ぐ・いそ.ぎ,hurry; emergency; sudden; steep
止,シ・と.まる・-ど.まり・と.める・-と.める・-ど.め・とど.める・とど.め・とど.まる・や.める・や.む・-や.む・よ.す・-さ.す・-さ.し,stop; halt
送,ソウ・おく.る,escort; send
切,セツ・サイ・き.る・-き.る・き.り・-き.り・-ぎ.り・き.れる・-き.れる・き.れ・-き.れ・-ぎ.れ,cut; cutoff; besharp
転,テン・ころ.がる・ころ.げる・ころ.がす・ころ.ぶ・まろ.ぶ・うたた・うつ.る・くる.めく,revolve; turnaround; change
研,ケン・と.ぐ,polish; studyof; sharpen
足,ソク・あし・た.りる・た.る・た.す,leg; foot; besufficient; counter for pairs of footwear
究,キュウ・ク・きわ.める,research; study
楽,ガク・ラク・ゴウ・たの.しい・たの.しむ・この.む,music; comfort; ease
起,キ・お.きる・お.こる・お.こす・おこ.す・た.つ,rouse; wakeup; getup
着,チャク・ジャク・き.る・-ぎ・き.せる・-き.せ・つ.く・つ.ける,don; arrive; wear; counter for suits of clothing
店,テン・みせ・たな,store; shop
病,ビョウ・ヘイ・や.む・-や.み・やまい,ill; sick
質,シツ・シチ・チ・たち・ただ.す・もと・わりふ,substance; quality; matter; temperament
待,タイ・ま.つ・-ま.ち,wait; dependon
試,シ・こころ.みる・ため.す,test; try; attempt; experiment; ordeal
族,ゾク,tribe; family
銀,ギン・しろがね,silver
早,ソウ・サッ・はや.い・はや・はや-・はや.まる・はや.める・さ-,early; fast
映,エイ・うつ.る・うつ.す・は.える・-ば.え,reflect; reflection; projection
親,シン・おや・おや-・した.しい・した.しむ,parent; intimacy; relative; familiarity; dealer(cards)
験,ケン・ゲン・あかし・しるし・ため.す・ためし,verification; effect; testing
英,エイ・はなぶさ,England; English
医,イ・い.やす・い.する・くすし,doctor; medicine
仕,シ・ジ・つか.える,attend; doing; official; serve
去,キョ・コ・さ.る・-さ.る,gone; past; quit; leave; elapse; eliminate; divorce
味,ミ・あじ・あじ.わう,flavor; taste
写,シャ・ジャ・うつ.す・うつ.る・うつ-・うつ.し,copy; bephotographed; describe
字,ジ・あざ・あざな・-な,character; letter; word; section of village
答,トウ・こた.える・こた.え,solution; answer
夜,ヤ・よ・よる,night; evening
音,オン・イン・-ノン・おと・ね,sound; noise
注,チュウ・そそ.ぐ・さ.す・つ.ぐ,pour; irrigate; shed(tears); flow into; concentrateon; notes; comment; annotate
帰,キ・かえ.る・かえ.す・おく.る・とつ.ぐ,homecoming; arriveat; leadto; resultin
古,コ・ふる.い・ふる-・-ふる.す,old
歌,カ・うた・うた.う,song; sing
買,バイ・か.う,buy
悪,アク・オ・わる.い・わる-・あ.し・にく.い・-にく.い・ああ・いずくに・いずくんぞ・にく.む,bad; vice; rascal; false; evil; wrong
図,ズ・ト・え・はか.る,map; drawing; plan; unexpected; accidentally
週,シュウ,week
室,シツ・むろ,room; apartment; chamber; greenhouse; cellar
歩,ホ・ブ・フ・ある.く・あゆ.む,walk; counterforsteps
風,フウ・フ・かぜ・かざ-・-かぜ,wind; air; style; manner
紙,シ・かみ,paper
黒,コク・くろ・くろ.ずむ・くろ.い,black
花,カ・ケ・はな,flower
春,シュン・はる,springtime; spring(season)
赤,セキ・シャク・あか・あか-・あか.い・あか.らむ・あか.らめる,red
青,セイ・ショウ・あお・あお-・あお.い,blue; green
館,カン・やかた・たて,building; mansion; largebuilding; palace
屋,オク・や,roof; house; shop; dealer; seller
色,ショク・シキ・いろ,color
走,ソウ・はし.る,run
秋,シュウ・あき・とき,autumn
夏,カ・ガ・ゲ・なつ,summer
習,シュウ・ジュ・なら.う・なら.い,learn
駅,エキ,station
洋,ヨウ,ocean; westernstyle
旅,リョ・たび,trip; travel
服,フク,clothing; admit; obey; discharge
夕,セキ・ゆう,evening
借,シャク・か.りる,borrow; rent
曜,ヨウ,weekday
飲,イン・オン・の.む・-の.み,drink; smoke; take
肉,ニク・しし,meat
貸,タイ・か.す・か.し-・かし-,lend
堂,ドウ,publicchamber; hall
鳥,チョウ・とり,bird; chicken
飯,ハン・めし,meal; boiledrice
勉,ベン・つと.める,exertion; endeavour; encourage; strive; make effort; diligent
冬,トウ・ふゆ,winter
昼,チュウ・ひる,daytime; noon
茶,チャ・サ,tea
弟,テイ・ダイ・デ・おとうと,youngerbrother; faithful service to elders
牛,ギュウ・うし,cow
魚,ギョ・うお・さかな・-ざかな,fish
兄,ケイ・キョウ・あに,elderbrother; big brother
犬,ケン・いぬ・いぬ-,dog
妹,マイ・いもうと,younger sister
姉,シ・あね・はは,elder sister
漢,カン,Sino-; China
